model,model_display,short_threshold,long_threshold,forward_count,reverse_count,forward_rate,reverse_rate
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,60,400,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,60,400,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,60,400,56,121,0.1111111111,0.2400793651
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,60,500,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,60,500,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,60,500,56,120,0.1111111111,0.2380952381
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,60,600,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,60,600,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,60,600,56,120,0.1111111111,0.2380952381
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,80,400,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,80,400,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,80,400,56,121,0.1111111111,0.2400793651
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,80,500,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,80,500,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,80,500,56,120,0.1111111111,0.2380952381
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,80,600,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,80,600,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,80,600,56,120,0.1111111111,0.2380952381
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,100,400,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,100,400,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,100,400,56,121,0.1111111111,0.2400793651
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,100,500,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,100,500,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,100,500,56,120,0.1111111111,0.2380952381
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,100,600,203,0,0.4027777778,0
openai/gpt-oss-20b,GPT-OSS-20B,100,600,59,16,0.1170634921,0.03174603175
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,100,600,56,120,0.1111111111,0.2380952381
