development_pair_id,pair_id,category,strategy,source_E_sha256
DEV-violence-SymbolicMasking-01,d9b82cad2b79b01cb8b2efd1,violence,SymbolicMasking,61064f50029f292921826d45a4cb40684427929ce59ab61f1fbedf7f50ade830
DEV-violence-SymbolicMasking-02,f8f4352e73a23baa57f472d8,violence,SymbolicMasking,d8a2b705085133e64091b2c045a35d28ff99c370647c550786021f80ed6a18eb
DEV-violence-ScenarioNesting-01,f8d7c0ac7af66cd81d897779,violence,ScenarioNesting,f41dd07d7674e95ebec764726539dc72b7d1969b5a1a3886a31be86cb698b373
DEV-violence-ScenarioNesting-02,bbaa2624537d5f7cafba7ba8,violence,ScenarioNesting,f85377f94af6cd02902fe07cdc5154e7ab33caaa6270f5f96838d25b5aa41c2f
DEV-violence-RolePrompting-01,23936cf862bac7389931e449,violence,RolePrompting,3c2c5ce486dd91e9db4b261b7f9d1a36350971234229edd276f4ae8f92705e49
DEV-violence-RolePrompting-02,99609f2097ee98168a5b61c6,violence,RolePrompting,e3554c75f41608f13cbdadd637500061bbe1de067b44830c034b5f7cd10ccb91
DEV-intoxication-SymbolicMasking-01,7a34b220a1f9d704d251457f,intoxication,SymbolicMasking,91735de4bd32ccbb6e47561f6349176cdfa6059e73fa2d49b506af67bd5fe358
DEV-intoxication-SymbolicMasking-02,86fdd22f20f17fab0d787298,intoxication,SymbolicMasking,06eaee24517bbde5ddcbdbd914057e4f24e5c8c7d7ab6a59fc973fd845170bb2
DEV-intoxication-ScenarioNesting-01,246d6499d8ef09be8673b334,intoxication,ScenarioNesting,4326cc17c8242b7d79958c7cf367875fa977097d854ba426db6b0953de7e5b52
DEV-intoxication-ScenarioNesting-02,d3e11e96e81b5996e6e728d0,intoxication,ScenarioNesting,ca6212a9ccd15b8c08025ea1f3a84e662d3c88d2e1bbf5fec3f3177ff364ee2d
DEV-intoxication-RolePrompting-01,c7593d5f83533ee4c3488837,intoxication,RolePrompting,ec67c3eb790d968ad50042f48b52911b89222d3aa4c41fc74b47b66ceb455beb
DEV-intoxication-RolePrompting-02,7635b3d9adcfdf1a08f2183a,intoxication,RolePrompting,81c5eb232e0c86ae83746f0274e406b59cb8258a23d383a0a2320ea7dea6627a
DEV-gambling-SymbolicMasking-01,01f57697b279fe67651e9508,gambling,SymbolicMasking,6372a6a4014b1d59b9ddf13aa1881fc9f43018fa5e7824a2abf61dd7136f95d8
DEV-gambling-SymbolicMasking-02,35525a8cce17a901caa02ab4,gambling,SymbolicMasking,0258a181687fa7a09a66dc294f76f0a70b0e7423094b418ea2a4f07764b3897c
DEV-gambling-ScenarioNesting-01,818074a58df3296b708f1ffe,gambling,ScenarioNesting,342c52a4888bf183af57117d134dd178f66fe7a2c97267fd4d7c409a523a8a6d
DEV-gambling-ScenarioNesting-02,1a25f334b21723868f9aa1d4,gambling,ScenarioNesting,f9fbcbfbcbeeb07a547a6bd0638f1b6d3afab5eba2c50ca6ee16ff7bb206e782
DEV-gambling-RolePrompting-01,613dbf3dcecb2ef68cbc5b3f,gambling,RolePrompting,b8b3fc283236277af7efea27aea50279b4941a527f8bfce62675cb5c88f801ea
DEV-gambling-RolePrompting-02,b13c3b8bd25c0461b18a90cd,gambling,RolePrompting,926746c3e6566fbdc3cf68c6b8a1b5731c7047acfb415a5bfeed81152cd4ea28
DEV-sexual_violence-SymbolicMasking-01,6bbf2e312b8cd15e36b7bf5f,sexual_violence,SymbolicMasking,f1f6686fa770bd8649c0fd00fb909074a53ace061d9dcbbf4b22949bf737f83d
DEV-sexual_violence-SymbolicMasking-02,2040c451b6b23689f671385e,sexual_violence,SymbolicMasking,7d9a33554f02dcce130303600ef59a4e4a20659ce8e3fadd5698477747457bde
DEV-sexual_violence-ScenarioNesting-01,771f3d972e29df46af9bd2d8,sexual_violence,ScenarioNesting,a258ed91b87bee63908e2b3458d85ce9926b3cd7ee13a1fe39b8267773b8e28e
DEV-sexual_violence-ScenarioNesting-02,d20dc6c097710686edb700b3,sexual_violence,ScenarioNesting,5f9cbeaf95147acd6d55f999c1396db07180b9e2cb2e740975206910b364c492
DEV-sexual_violence-RolePrompting-01,9aae429d762688d4550a08cf,sexual_violence,RolePrompting,fc42fb8bd0556c1460051392df403df8cd875edf76507e48499d2f05972585ab
DEV-sexual_violence-RolePrompting-02,650478d7d04536a0bac60845,sexual_violence,RolePrompting,ff0aa1536da6bd9519686deadb6701c02137abb4e78983a1dfa9c56f6cf8c71e
